name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,ath_year,ath_month,ath_day
36,97781.0,1942716505416,1,1942719935467,49896178474.0,98098.0,94120.0,1958.9,2.0443,44123239556.0,2.324,19823346.0,19823381.0,21000000.0,108786.0,-9.89036,1737364314494000000,67.81,144462.30123,1373068800000000000,1739400385542000000,7.30213639486036,3,730.213639486036,2025,1,20
73,2765.4,334591411004,2,334591411004,24003735259.0,2782.27,2565.92,157.35,6.03309,20257632728.0,6.44462,120543070.6736782,120543070.6736782,1000000000.0,4878.26,-43.00585,1636554259604000000,0.432979,642038.32244,1445299200000000000,1739400387157000000,36.79377565795439,0,3679.3775657954393,2021,11,10
232,2.48,143481543884,3,248365405217,4822053983.0,2.49,2.36,0.050957,2.09837,3556254140.0,2.54154,57762545657.0,99986504676.0,100000000000.0,3.4,-26.84901,1515283200000000000,0.00268621,92446.85051,1400716800000000000,1739400384178000000,7.30213639486036,3,730.213639486036,2018,1,7
199,0.999995,141952534193,4,141952534193,46327356558.0,1.0,0.999643,0.00015608,0.01561,96366394.0,0.06793,141953250507.8432,141953250507.8432,1000000000.0,1.32,-24.41645,1532390400000000000,0.572521,74.67348,1425254400000000000,1739400387904000000,7.30213639486036,3,730.213639486036,2018,7,24
25,700.95,102259685465,5,102259685465,2390417337.0,703.18,627.79,58.58,9.1198,8578463228.0,9.15708,145887575.79,145887575.79,200000000.0,788.84,-10.86365,1733308525220000000,0.0398177,1765814.27166,1508371200000000000,1739400384704000000,7.30213639486036,3,730.213639486036,2024,12,4
179,197.25,96776912844,6,117740458809,4912896612.0,198.34,190.01,-0.9526327441693354,-0.48063,239646120.0,0.24824,488177881.5117716,593925617.8001201,1000000000.0,293.31,-32.42519,1737285327957000000,0.500801,39477.58375,1589225723449000000,1739400385738000000,7.30213639486036,3,730.213639486036,2025,1,19
212,0.999902,56066118745,7,56066442473,5831698157.0,1.0,0.999848,1.71e-06,0.00017,-34332760.12573242,-0.0612,56071595009.84862,56071918768.62053,1000000000.0,1.17,-14.7327,1557276028300000000,0.877647,13.93365,1678521733981000000,1739400388492000000,7.30213639486036,3,730.213639486036,2019,5,8
66,0.265553,39373544361,8,39387394562,1876049736.0,0.266692,0.249699,0.01152428,4.5366,1859408547.0,4.95655,147968466383.7052,148020516383.7051,1000000000.0,0.731578,-63.56956,1620450503458000000,8.69e-05,306580.79828,1430870400000000000,1739400386782000000,7.30213639486036,3,730.213639486036,2021,5,8
47,0.8014,28784873121,9,36063098619,1203448596.0,0.805788,0.755641,0.01743807,2.22435,654676159.0,2.32731,35918136268.48197,45000000000.0,45000000000.0,3.09,-73.89929,1630562410474000000,0.01925275,4084.88638,1584066175044000000,1739400390616000000,7.30213639486036,3,730.213639486036,2021,9,2
116,2768.08,26085889543,10,26086357468,161339028.0,2781.03,2565.99,157.77,6.04396,1573572790.0,6.41952,9395077.099640151,9395245.627119929,1000000000.0,4829.57,-42.42691,1636555247256000000,482.9,475.80344,1608610101854000000,1739400384818000000,7.30213639486036,3,730.213639486036,2021,11,10
196,0.243582,20972532426,11,20972546200,868481974.0,0.245698,0.236015,0.0014812,0.61181,122910156.0,0.58951,86100453669.73969,86100510217.38632,1000000000.0,0.431288,-43.37564,1733271040323000000,0.00180434,13434.81322,1510444800000000000,1739400386787000000,127.20112427285721,2,12720.112427285721,2024,12,4
228,97580.0,12635043340,12,12635043340,921311736.0,98094.0,94405.0,1820.31,1.90091,302752200.0,2.45496,129138.42002211,129138.42002211,129138.42002211,108368.0,-9.67983,1737357387137000000,3139.17,3017.95594,1554163200000000000,1739400388948000000,7.30213639486036,3,730.213639486036,2025,1,20
49,19.3,12315934312,13,19300947943,754747529.0,19.4,17.83,0.565531,3.01851,356191919.0,2.97826,638099970.4505637,1000000000.0,1000000000.0,52.7,-63.21167,1620605637214000000,0.148183,12982.58773,1511913600000000000,1739400385744000000,7.30213639486036,3,730.213639486036,2021,5,10
190,3.63,11224259592,14,36327907097,1789556126.0,3.65,3.12,0.302582,9.08733,925898682.0,8.99074,3089707194.508888,10000000000.0,10000000000.0,5.35,-31.74674,1736031378063000000,0.364846,900.20375,1697712030078000000,1739400386534000000,7.30213639486036,3,730.213639486036,2025,1,4
20,26.83,11117303037,15,12151910250,463489716.0,26.98,24.59,1.48,5.82604,665012180.0,6.36236,411940179.2238334,450276480.6835007,720000000.0,144.96,-81.38492,1637504336538000000,2.8,863.37096,1609420521540000000,1739400383129000000,7.30213639486036,3,730.213639486036,2021,11,21
230,3319.44,10972111011,16,10972111011,83276409.0,3319.31,3061.99,207.47,6.66696,524489162.0,5.02018,3342835.45705282,3342835.45705282,1000000000.0,7256.02,-54.74253,1652454594509000000,558.54,487.94191,1652405805053000000,1739400388800000000,7.30213639486036,3,730.213639486036,2022,5,13
189,0.334363,10254448617,17,16743780565,332068162.0,0.335016,0.311326,0.01336676,4.16415,452777393.0,4.61939,30622758850.35479,50001786894.45016,50001786894.45016,0.875563,-61.73704,1514937600000000000,0.00047612,70263.34815,1425513600000000000,1739400386099000000,7.30213639486036,3,730.213639486036,2018,1,3
177,1.719e-05,10161534074,18,10165903233,429951801.0,1.728e-05,1.552e-05,1.49e-06,9.46961,908471866.0,9.81807,589253898412081.8,589507260155307.8,1000000000.0,8.616e-05,-79.99415,1635393295568000000,5.6366e-11,30579829.15512,1606562785838000000,1739400384738000000,7.30213639486036,3,730.213639486036,2021,10,28
208,3.8,9513827326,19,19538494622,182009190.0,3.82,3.63,0.054041,1.44276,158030179.0,1.68912,2494118593.745965,5122157577.541907,1000000000.0,8.25,-53.75046,1718411811509000000,0.519364,634.98678,1632184391092000000,1739400386876000000,7.30213639486036,3,730.213639486036,2024,6,15
118,123.83,9372410645,20,9372504493,1392658995.0,124.36,112.24,3.15,2.61231,294977979.0,3.24957,75525176.98347135,75525933.23347135,84000000.0,410.26,-69.74988,1620616387904000000,1.15,10702.53235,1421193600000000000,1739400390500000000,7.30213639486036,3,730.213639486036,2021,5,10
113,9.79,9069993400,21,9669691367,693884.0,9.94,9.74,-0.0128600955819777,-0.13112,5515683.0,0.06085,924136609.9,985239504.0,1000000000.0,9.95,-1.26094,1739141142188000000,0.799859,1127.68651,1577200475376000000,1739400389987000000,7.30213639486036,3,730.213639486036,2025,2,9
91,0.235334,9006764237,22,11768156753,359394594.0,0.236183,0.215827,0.00632972,2.76402,228869840.0,2.60734,38267523224.49103,50000000000.0,50000000000.0,0.569229,-58.50443,1631702428318000000,0.00986111,2295.31652,1577986224852000000,1739400389196000000,7.30213639486036,3,730.213639486036,2021,9,15
214,0.999528,8526914971,23,8526914971,19679726.0,1.006,0.996032,-0.0003018296644903,-0.03019,107441337.0,1.27611,8523912437.702795,8523912437.702795,1000000000.0,1.057,-5.38021,1730180451197000000,0.948265,5.50172,1727961568826000000,1739400389776000000,7.30213639486036,3,730.213639486036,2024,10,29
94,25.35,8474781829,24,25378811679,163918622.0,25.41,22.77,1.85,7.89485,644587630.0,8.23208,333928180.0,999990391.0,1000000000.0,34.96,-27.71255,1734839760276000000,3.81,563.50546,1732872630871000000,1739400389285000000,7.30213639486036,3,730.213639486036,2024,12,22
223,2770.58,8225227564,25,8225227564,1182969365.0,2788.24,2573.8,162.63,6.23581,497628566.0,6.43963,2962660.65795653,2962660.65795653,1000000000.0,4799.89,-41.92195,1636416000000000000,82.1,3295.33293,1544832000000000000,1739400388958000000,7.30213639486036,3,730.213639486036,2021,11,9
156,5.27,8045451533,26,8045451533,429282163.0,5.3,4.79,0.449757,9.33851,694850305.0,9.45297,1522267060.0,1522267060.0,1000000000.0,54.98,-90.38671,1636035009301000000,2.7,95.94298,1597902491359000000,1739400384149000000,7.30213639486036,3,730.213639486036,2021,11,4
39,6.05,7237384354,27,7237384354,386797732.0,6.36,5.75,-0.3118680458644043,-4.90253,-380715251.8118973,-4.99751,1199999994.2,1199999994.2,2000000000.0,8.45,-28.66652,1735299684992000000,0.0142795,42113.72625,1593058625895000000,1739400383758000000,7.30213639486036,3,730.213639486036,2024,12,27
37,344.98,6857801487,28,6857805810,197074259.0,346.21,324.37,12.26,3.6848,266738489.0,4.04697,19828531.14665078,19828543.64665078,21000000.0,3785.82,-90.85579,1513728000000000000,76.93,349.96992,1544918400000000000,1739400384311000000,7.30213639486036,3,730.213639486036,2017,12,20
216,10.06,6059235144,29,10090601067,320542893.0,10.08,9.16,0.623716,6.61164,403062054.0,7.12606,600483073.71,1000000000.0,1000000000.0,44.92,-77.5438,1620019504822000000,1.03,879.14736,1600305638214000000,1739400386879000000,7.30213639486036,3,730.213639486036,2021,5,3
71,0.998898,6004997859,30,6004997859,77127852.0,1.003,0.989567,-0.0016216089977003,-0.16208,-12525585.315538406,-0.20815,6003671238.163104,6003671238.163104,1000000000.0,1.032,-3.22448,1703086714596000000,0.929486,7.45755,1728028635809000000,1739400386248000000,7.30213639486036,3,730.213639486036,2023,12,20
229,2936.73,5629922218,31,5629922218,21877776.0,2953.74,2726.43,174.79,6.32857,362532201.0,6.88258,1914266.346920314,1914270.76155884,1000000000.0,4311.81,-31.88588,1733517145758000000,2231.18,31.6325,1704684928624000000,1739400388885000000,7.30213639486036,3,730.213639486036,2024,12,6
121,5.76,5624181046,32,10458565156,322324947.0,5.95,5.61,-0.103424247438121,-1.76283,-82335041.38477898,-1.44283,972067923.74,1807629525.75,1000000000.0,6.41,-9.76072,1738937468824000000,0.01726188,33409.504,1697131509068000000,1739400390513000000,7.30213639486036,3,730.213639486036,2025,2,7
146,1.4,4421928721,33,13997398569,332763518.0,1.41,1.3,0.050875,3.76995,168664041.0,3.96552,3159107529.0,10000000000.0,10000000000.0,2.14,-34.44275,1734309360777000000,0.082171,1607.44886,1705580070524000000,1739400381725000000,7.30213639486036,3,730.213639486036,2024,12,16
155,1.01e-05,4260063653,34,4260063653,1046363849.0,1.015e-05,9.22e-06,5.00756e-07,5.21576,211796472.0,5.23178,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-63.89882,1733761835828000000,5.5142e-08,18249.77413,1681784081591000000,1739400382714000000,7.30213639486036,3,730.213639486036,2024,12,9
133,223.96,4138388201,35,4138388201,55521749.0,227.97,218.87,2.05,0.92459,46464682.0,1.13552,18446744.07370955,18446744.07370955,1000000000.0,542.33,-58.55419,1515456000000000000,0.216177,103875.69623,1421193600000000000,1739400390859000000,7.30213639486036,3,730.213639486036,2018,1,9
137,3.44,4095048326,36,4271367002,301493647.0,3.46,3.14,0.20249,6.25728,263004782.0,6.8633,1184006188.0,1234985416.0,1000000000.0,20.44,-83.07849,1642370985873000000,0.526762,556.54622,1604506155137000000,1739400391201000000,7.30213639486036,3,730.213639486036,2022,1,16
224,27.37,3945194448,37,9073340380,32948389.0,27.56,27.06,0.03740637,0.13683,5404049.0,0.13717,144118517.10815412,331450421.0,400000000.0,29.08,-5.67085,1737643935951000000,3.06,795.82849,1676314881899000000,1739400388291000000,7.30213639486036,3,730.213639486036,2025,1,23
7,257.33,3902447819,38,4142844633,370232673.0,259.24,233.61,11.93,4.86279,204559274.0,5.53179,15071568.121257324,16000000.0,16000000.0,661.69,-60.82909,1621372799514000000,26.02,895.9981,1604568011928000000,1739400382819000000,7.30213639486036,3,730.213639486036,2021,5,18
99,7.44,3590337535,39,3957304479,127359629.0,7.47,6.91,0.309202,4.33699,167081970.0,4.88079,480857424.9662177,530005667.5096091,1000000000.0,700.65,-98.93389,1620662753653000000,2.87,160.71926,1695342597369000000,1739400389545000000,7.30213639486036,3,730.213639486036,2021,5,10
13,6.2,3569424478,40,7073513726,274603700.0,6.21,5.82,0.325148,5.533,179081813.0,5.28212,575166501.5313247,1139805077.452606,1000000000.0,19.92,-68.71976,1674743117390000000,3.08,102.32347,1672349714796000000,1739400384400000000,7.30213639486036,3,730.213639486036,2023,1,26
125,1.054,3554774989,41,6570662675,132044567.0,1.057,1.002,0.0357698,3.51176,125987586.0,3.67441,3364694382.83684,6219316794.99,6219316794.99,1.54,-31.51923,1712569525482000000,0.307978,242.14272,1697597446942000000,1739400390386000000,7.30213639486036,3,730.213639486036,2024,4,8
60,0.999659,3482116526,42,3478764889,224612371.0,1.0,0.998877,-1.643286440811e-06,-0.00016,-667293.1032094955,-0.01916,3483377477.701721,3480024627.256405,1000000000.0,1.22,-17.98829,1584068570373000000,0.88196,13.34594,1678521050514000000,1739400386711000000,7.30213639486036,3,730.213639486036,2020,3,13
40,412.14,3384128507,43,8650601548,232292152.0,416.65,377.64,-3.3058131410105034,-0.79572,-18923311.17373228,-0.55607,8215232.0,21000000.0,21000000.0,757.6,-45.53044,1709837136466000000,30.83,1238.51605,1684054673732000000,1739400383941000000,7.30213639486036,3,730.213639486036,2024,3,7
245,1.038,3257975899,44,3257975899,442024.0,1.051,1.016,-0.0004326203181479,-0.04166,5554443.0,0.17078,3132267708.570715,3132267708.570715,1000000000.0,1.088,-3.58239,1738549895208000000,0.961716,9.06972,1735953668460000000,1739400385342000000,7.30213639486036,3,730.213639486036,2025,2,3
74,21.51,3251273278,45,3251285413,150943259.0,21.64,19.93,1.29,6.3776,209449522.0,6.88566,150726515.6183324,150727078.1783065,210700000.0,167.09,-87.05897,1620326062133000000,0.615038,3415.64854,1469404800000000000,1739400386559000000,46.809622987811444,2,4680.962298781144,2021,5,6
142,51.97,3118101253,46,12262332569,10240542.0,52.41,49.59,1.19,2.34709,72245783.0,2.37194,60000000.0,235957685.3,300000000.0,73.8,-29.53505,1710376212502000000,0.580608,8857.07429,1547424000000000000,1739400381519000000,7.30213639486036,3,730.213639486036,2024,3,14
144,15.42,3101527384,47,15507637318,949125166.0,15.51,14.63,-0.0098622845693903,-0.06392,9804794.0,0.31713,199999994.9,1000000000.0,1000000000.0,73.43,-78.99,1737287434806000000,4.29,259.56526,1737171629231000000,1739400381943000000,7.30213639486036,3,730.213639486036,2025,1,19
218,0.03553675,2890561113,48,3069023769,64905837.0,0.03579891,0.03201583,0.0021592,6.46902,187022471.0,6.91769,80985041177.0,85985041177.0,86712634466.0,0.280991,-87.25855,1618794501675000000,0.00191713,1767.49388,1584066599652000000,1739400387804000000,3.4942519624191317,1,349.42519624191317,2021,4,19
86,22.53,2837418054,49,6765665579,21566008.0,22.58,21.16,0.632047,2.88587,89067132.0,3.24075,125815473.19980882,300000000.0,1000000000.0,25.94,-13.03973,1737774457823000000,0.25754,8658.62827,1584065882481000000,1739400387742000000,7.30213639486036,3,730.213639486036,2025,1,25
151,0.330172,2833639331,50,3429769123,102201576.0,0.330602,0.302029,0.02085689,6.74293,191950564.0,7.26621,8560894181.240446,10361901110.26989,1000000000.0,1.29,-74.36196,1710356106692000000,0.269234,22.60906,1738548692978000000,1739400386459000000,7.30213639486036,3,730.213639486036,2024,3,13
58,0.095118,2604783061,51,2862477274,30353464.0,0.095519,0.089448,0.00228835,2.46512,74327698.0,2.93732,27299253186.35323,30000000000.0,1000000000.0,0.965407,-90.10868,1637769234855000000,0.0121196,687.90965,1549584000000000000,1739400390247000000,7.30213639486036,3,730.213639486036,2021,11,24
106,0.099906,2570974138,52,2571074264,94825493.0,0.099925,0.089308,0.00272868,2.80794,65913473.0,2.63121,25691495527.19072,25692496073.10266,28704026601.0,0.207411,-51.74541,1722472847164000000,0.00017105,58412.46643,1653576179316000000,1739400389604000000,7.30213639486036,3,730.213639486036,2024,8,1
10,0.303236,2554999606,53,2557473162,169309228.0,0.304404,0.279634,0.01330336,4.58843,112754283.0,4.61683,8425769198.25977,8433926387.423662,10000000000.0,3.56,-91.45223,1561042279480000000,0.087513,247.83115,1694461328247000000,1739400383535000000,-0.8736515154881905,2,-87.36515154881906,2019,6,20
51,97797.0,2496927364,54,2496927364,437911055.0,98247.0,94583.0,1865.69,1.94481,73522109.0,3.03383,25519.86423001,25519.86423001,1000000000.0,108953.0,-10.25883,1737364853854000000,57439.0,70.22572,1726150061775000000,1739400390293000000,7.30213639486036,3,730.213639486036,2025,1,20
167,4.69,2437379286,55,2506869314,121422394.0,4.71,4.25,0.209859,4.68771,117379359.0,5.05946,517716590.0562826,532476763.3362826,1000000000.0,13.53,-65.19544,1710693024636000000,0.03665669,12750.8324,1592313745900000000,1739400383832000000,7.30213639486036,3,730.213639486036,2024,3,17
103,0.866882,2296814452,56,6095933638,198794291.0,0.871359,0.799583,0.04317554,5.24162,120443988.0,5.53417,2637438888.89,6999978785.383593,10000000000.0,2.0,-56.6682,1706713367304000000,0.457464,89.44478,1708540265083000000,1739400389761000000,7.30213639486036,3,730.213639486036,2024,1,31
207,28.0,2239897807,57,2800012293,20330058.0,28.17,27.56,0.01905678,0.06811,895284.0,0.03999,79995999.05112354,100000000.0,100000000.0,50.43,-44.30641,1735931563038000000,0.111255,25145.69641,1556409600000000000,1739400386441000000,95.38596533551859,2,9538.59653355186,2025,1,3
56,5.07,2214894676,58,2214925055,171282370.0,5.09,4.57,0.346097,7.33361,155664328.0,7.55935,435911407.156629,435917385.982159,1000000000.0,44.45,-88.54409,1642379681497000000,1.16,338.93681,1584066464591000000,1739400385247000000,49.6542284370509,2,4965.42284370509,2022,1,17
79,3.5,2211693959,59,6887063364,211208063.0,3.52,3.2,0.154166,4.61262,112799252.0,5.37422,629323270.0,1959669519.0,1959669519.0,236.84,-98.51381,1617283781564000000,2.64,33.28048,1671230728552000000,1739400386466000000,7.30213639486036,3,730.213639486036,2021,4,1
14,0.502033,2192247448,60,5046769805,280073843.0,0.506628,0.455707,0.03873926,8.3617,176441733.0,8.75291,4343862574.0,10000000000.0,10000000000.0,2.39,-78.82373,1705062599231000000,0.38247,32.34319,1738548662489000000,1739400384595000000,7.30213639486036,3,730.213639486036,2024,1,12
17,0.827312,2155112844,61,2245732227,204682682.0,0.830577,0.721949,0.066979,8.80919,174804557.0,8.82714,2604959126.672,2714493896.672,2714493896.672,3.45,-75.95282,1711646478050000000,0.00816959,10067.28008,1584066258347000000,1739400386549000000,8.54223272411699,2,854.2232724116991,2024,3,28
80,0.997513,2049428113,62,2049428113,6904156657.0,1.011,0.980881,-0.001028405315556,-0.10299,6901367.0,0.33788,2043514572.28817,2043514572.28817,1000000000.0,1.15,-13.2427,1738549849959000000,0.940377,6.21962,1733437851394000000,1739400387015000000,7.30213639486036,3,730.213639486036,2025,2,3
120,98492.0,1942937890,63,1943035877,2997463.0,98177.0,94467.0,3421.3,3.5987,94768411.0,5.12769,19828.38209159,19829.38209159,1000000000.0,114576.0,-14.46997,1738633664052000000,52119.0,88.02343,1725656512094000000,1739400390134000000,7.30213639486036,3,730.213639486036,2025,2,4
182,0.550252,1750050805,64,1750050805,214186895.0,0.554213,0.449945,0.096611,21.29674,306903086.0,21.26623,3175000000.0,3175000000.0,1000000000.0,1.029,-47.21499,1736026544705000000,0.359647,51.09449,1738548697229000000,1739400385466000000,7.30213639486036,3,730.213639486036,2025,1,4
48,3.28,1728871735,65,3629088704,116375451.0,3.29,3.0,0.03422647,1.05581,34641118.0,2.04465,525160806.554321,1102369315.068165,1000000000.0,20.85,-84.2843,1707575402495000000,2.08,57.27671,1698765271951000000,1739400384698000000,7.30213639486036,3,730.213639486036,2024,2,10
78,3.94,1690659415,66,3432773017,49690213.0,4.0,3.9,0.00726173,0.18454,618563.0,0.0366,428845394.6,870742437.0,1000000000.0,4.0,-1.19051,1739379632861000000,0.398142,892.06442,1674296139503000000,1739400386171000000,7.30213639486036,3,730.213639486036,2025,2,12
34,2760.05,1671893879,67,1671893879,81653590.0,2774.23,2551.43,147.33,5.63882,93303670.0,5.91057,604999.999959841,604999.999959841,1000000000.0,4098.26,-33.72197,1733516847286000000,2171.8,25.06894,1725656572910000000,1739400383952000000,7.30213639486036,3,730.213639486036,2024,12,6
31,204.8,1574809139,68,1570712534,17410538.0,205.31,196.84,-0.0730627981473333,-0.03566,-18327612.62596321,-1.15041,7680673.843400527,7660693.843400527,1000000000.0,297.96,-31.76983,1737286253744000000,127.32,59.67223,1726673414531000000,1739400384419000000,7.30213639486036,3,730.213639486036,2025,1,19
108,2853.93,1573613057,69,1573613057,2152577.0,2853.96,2663.92,151.64,5.61167,59479629.0,3.9283,560241.8502494467,560241.8502494467,1000000000.0,4216.2,-32.30964,1733517076142000000,2069.62,37.89764,1706019953609000000,1739400389673000000,7.30213639486036,3,730.213639486036,2024,12,6
115,1.73,1556842114,70,1737671057,244290630.0,1.76,1.49,0.13874,8.73523,132729461.0,9.32015,895936033.47191,1000000000.0,1000000000.0,7.3,-76.18591,1629448520158000000,0.40615,328.19478,1655585712035000000,1739400390101000000,7.30213639486036,3,730.213639486036,2021,8,20
166,5.34,1555800978,71,2968607871,171214246.0,5.35,4.83,0.00140823,0.0264,-1002814.3459920884,-0.06441,290866823.959339,555000000.0,555000000.0,16.83,-68.21988,1631478023998000000,0.134391,3880.54607,1672352153927000000,1739400383462000000,7.30213639486036,3,730.213639486036,2021,9,12
149,1.14,1550441913,72,4926391609,204359891.0,1.15,1.038,0.070544,6.58489,100447816.0,6.92746,1351719035.0,4294967296.0,4294967296.0,4.84,-76.326,1709714150817000000,0.402159,185.17114,1655585692178000000,1739400381953000000,7.30213639486036,3,730.213639486036,2024,3,6
110,12.42,1522478407,73,1770829449,179729.0,12.45,12.05,0.273516,2.25227,34973426.0,2.35115,122606967.8513356,142606967.8513356,1000000000.0,28.83,-57.06908,1638371375541000000,0.342863,3509.87739,1549497600000000000,1739400389887000000,7.30213639486036,3,730.213639486036,2021,12,1
183,0.996256,1513013020,74,1513027015,45686190.0,1.002,0.907372,0.061885,6.62314,97713399.0,6.90408,1512839907.65159,1512853900.71847,1818000000.0,3.86,-74.04863,1711974898342000000,0.04559639,2099.39453,1584066566415000000,1739400385897000000,7.30213639486036,2,730.213639486036,2024,4,1
180,97242.0,1479464564,75,1479534221,9215139.0,97638.0,94261.0,1541.91,1.61119,53320569.0,3.73879,15152.59108681883,15153.30451114681,21000000.0,108929.0,-10.72926,1737357439296000000,49058.0,98.21921,1722839325311000000,1739400386931000000,7.30213639486036,3,730.213639486036,2025,1,20
231,0.093921,1476129986,76,3572840408,42632347.0,0.094418,0.089676,0.00312315,3.43968,51943189.0,3.64722,15688095938.7,37971630974.7,1000000000.0,0.192754,-51.10404,1629520788324000000,0.00039532,23741.30251,1563753600000000000,1739400388828000000,3.512902880641028,1,351.2902880641028,2021,8,21
98,14.93,1461462951,77,1495451263,132528505.0,14.94,13.6,0.583516,4.06699,59893377.0,4.27331,97727220.33,100000000.0,1000000000.0,52.62,-71.59672,1710428782124000000,0.657401,2173.49812,1604420370576000000,1739400389566000000,7.30213639486036,3,730.213639486036,2024,3,14
97,0.834917,1459761123,78,1674229674,51325340.0,0.836147,0.758896,0.0486515,6.18767,89109629.0,6.50126,1743800322.389814,2000000000.0,2000000000.0,9.52,-91.20354,1637888581536000000,0.378055,121.50678,1672472197649000000,1739400389546000000,7.30213639486036,3,730.213639486036,2021,11,26
206,1.45,1451435182,79,1451435182,30083422.0,1.45,1.3,0.077534,5.65728,84544450.0,6.18517,1000000000.0,1000000000.0,1000000000.0,15.72,-90.75365,1618578911190000000,0.04039979,3497.79005,1584066256483000000,1739400386173000000,8.653672051373826,2,865.3672051373827,2021,4,16
70,0.455157,1431261030,80,6863189755,282553747.0,0.456076,0.4045,0.01111867,2.50399,48428016.0,3.50209,3128125000.0,15000000000.0,1000000000.0,1.52,-70.03305,1712841315057000000,0.195078,133.14211,1725656688253000000,1739400390571000000,7.30213639486036,3,730.213639486036,2024,4,11
43,1.835e-05,1416984347,81,1631219286,155653264.0,1.845e-05,1.687e-05,6.93394e-07,3.92609,51464873.0,3.76889,77200550164588.67,88872559916022.84,88872559916022.84,5.825e-05,-68.41297,1732075266465000000,8.6142e-08,21259.38172,1672354126755000000,1739400384856000000,7.30213639486036,3,730.213639486036,2024,11,20
202,0.146558,1405826475,82,1588313561,56752368.0,0.147354,0.134549,0.00753039,5.41647,77222793.0,5.81233,9548531509.16547,10788004319.0,10788004319.0,2.84,-94.81442,1613114925775000000,0.052051,183.08467,1669111503503000000,1739400386002000000,7.30213639486036,3,730.213639486036,2021,2,12
